distance_cm,weight_kg,vibration_g,vibration_x,vibration_y,vibration_z,material_flow_rate_tph,state_label,is_anomaly,fault_type,signal_dropout,bed_height_cm,true_distance_cm,true_weight_kg,gravity_accel_mps2,friction_angle_deg,effective_accel_mps2,ore_velocity_mps,hx711_electrical_noise_kg,hx711_drift_kg,mpu6050_bias_g,mpu6050_jitter_g
4.1,29.5,4.23,1.3,1.59,3.72,185.6,0,1,inverted_physics,False,45.546,54.454,314.512,9.81,22.61,5.69251,2.6299,-0.9285,-0.5565,0.03756,0.02067
11.1,1050.0,0.16,0.04,0.09,0.14,3.0,2,0,none,False,89.019,10.981,1053.679,9.81,38.266,3.59755,0.03717,-0.1591,-3.3866,0.04012,-0.04378
71.8,203.0,3.11,1.08,1.23,2.63,237.4,0,0,none,False,28.654,71.346,208.31,9.81,26.823,5.1907,2.51131,2.086,-7.2132,-0.07321,0.04648
53.0,314.5,3.13,1.49,1.21,2.42,272.8,0,0,none,False,47.397,52.603,314.761,9.81,24.265,5.49945,2.58492,1.1526,-1.3348,-0.0572,-0.0301
56.5,284.0,3.23,1.29,1.26,2.7,236.0,0,0,none,False,43.836,56.164,287.939,9.81,23.599,5.57771,2.60325,0.7624,-4.5308,-0.00518,-0.01162
49.7,337.0,3.19,1.46,1.19,2.6,231.8,0,0,none,False,50.013,49.987,345.909,9.81,24.407,5.48258,2.58096,-2.0121,-6.6715,-0.02459,-0.00593
54.8,301.0,11.29,3.75,4.86,9.49,243.7,0,1,resonance_surge,False,45.097,54.903,306.662,9.81,27.312,5.1302,2.49664,-3.126,-2.5702,0.06828,0.00852
7.5,1104.0,0.17,0.08,0.09,0.12,2.2,2,0,none,False,92.514,7.486,1108.404,9.81,36.758,3.83298,0.03836,-0.4276,-4.0764,0.0023,-0.00289
56.2,277.5,3.06,1.38,1.01,2.55,237.7,0,0,none,False,43.612,56.388,282.947,9.81,26.853,5.1871,2.51044,0.3714,-5.8882,-0.04874,-0.02585
10.6,1045.0,0.25,0.11,0.1,0.24,3.2,2,0,none,False,89.719,10.281,1046.191,9.81,36.554,3.86412,0.03852,3.1799,-4.5823,0.04753,0.03382
29.0,625.0,1.37,0.43,0.57,1.17,97.4,1,0,none,False,70.557,29.443,625.01,9.81,32.662,4.42886,1.03098,0.2146,-0.4581,0.0401,-0.02858
52.3,350.0,3.12,1.11,1.18,2.66,241.8,0,0,none,False,47.794,52.206,355.87,9.81,26.598,5.21843,2.51801,0.7306,-6.7673,-0.04193,0.01585
4.1,20.0,4.08,1.88,1.23,3.45,204.6,0,1,inverted_physics,False,48.971,51.029,316.914,9.81,22.843,5.66563,2.62369,-2.0002,-2.2838,0.06587,-0.0148
53.9,301.5,3.2,1.12,1.13,2.77,260.0,0,0,none,False,45.944,54.056,300.304,9.81,21.895,5.77455,2.64879,-0.818,2.0801,-0.05787,-0.04014
54.8,315.5,3.1,1.54,1.19,2.44,214.0,0,0,none,False,44.834,55.166,308.588,9.81,27.128,5.15301,2.50218,1.1783,5.6446,-0.03017,0.01191
2.5,1135.5,0.17,0.07,0.07,0.1,1.0,2,0,none,False,98.0,2.0,1140.515,9.81,37.296,3.75008,0.03795,-4.5739,-0.6096,0.01064,-0.00174
9.4,1106.5,0.27,0.06,0.09,0.21,2.8,2,0,none,False,91.215,8.785,1110.329,9.81,39.044,3.47228,0.03652,-1.3501,-2.4715,0.05279,0.05536
29.8,622.5,1.4,0.62,0.5,1.13,107.8,1,0,none,False,70.716,29.284,630.758,9.81,30.613,4.70654,1.06281,-0.3581,-7.9951,0.04696,-0.04498
56.7,276.0,3.15,0.95,1.55,2.54,240.1,0,0,none,False,42.978,57.022,280.298,9.81,24.771,5.43936,2.57076,-1.039,-3.0671,-0.01864,-0.0408
22.7,679.0,1.37,0.58,0.64,1.09,110.9,1,0,none,False,77.667,22.333,683.653,9.81,31.017,4.65273,1.05672,2.5088,-7.1541,-0.01136,-0.00198
31.6,625.5,1.33,0.56,0.59,1.03,98.8,1,0,none,False,67.925,32.075,623.349,9.81,35.568,4.0122,0.98129,-0.7815,3.167,0.03303,0.00095
65.2,230.5,3.33,1.06,1.08,2.93,228.9,0,0,none,False,34.946,65.054,228.287,9.81,20.84,5.89399,2.67604,0.5931,1.4359,-0.03657,0.03083
9.4,1138.5,0.22,0.06,0.11,0.13,2.4,2,0,none,False,91.256,8.744,1139.884,9.81,38.901,3.49549,0.03664,1.9283,-3.342,0.04828,0.01228
4.9,1263.0,0.06,0.02,0.04,0.02,5.1,2,0,none,False,94.917,5.083,1270.45,9.81,36.098,3.93303,0.03886,-1.4144,-5.8714,-0.03475,-0.06807
26.5,653.5,1.39,0.48,0.67,1.14,107.7,1,0,none,False,73.927,26.073,650.269,9.81,32.477,4.45443,1.03396,0.2352,3.1899,0.05553,-0.02154
63.4,250.0,3.19,1.38,1.15,2.64,253.5,0,0,none,False,36.709,63.291,259.309,9.81,24.115,5.51711,2.58907,-2.213,-6.946,-0.02563,-0.00695
48.8,352.5,3.29,1.51,1.48,2.52,254.8,0,0,none,False,50.555,49.445,356.887,9.81,22.742,5.67731,2.62639,0.4859,-4.9874,0.01196,0.00302
65.8,234.5,3.06,1.43,1.52,2.26,241.1,0,0,none,False,34.856,65.144,239.275,9.81,28.431,4.98956,2.46218,-1.4601,-3.2418,-0.03429,0.018
8.3,1042.0,0.21,0.1,0.11,0.14,2.2,2,0,none,False,91.837,8.163,1048.697,9.81,40.084,3.30045,0.0356,-4.8119,-1.9912,0.05407,-0.00735
0.0,0.0,0.0,-0.01,0.0,-0.02,0.0,0,1,signal_dropout,True,50.373,49.627,350.532,9.81,28.164,5.02337,2.4705,0.1113,2.3206,0.05675,0.01002
23.1,672.5,1.44,0.68,0.67,1.08,90.2,1,0,none,False,76.851,23.149,677.294,9.81,31.122,4.63862,1.05512,-1.5552,-3.4331,0.06372,-0.01361
49.7,361.5,3.3,1.57,1.01,2.75,235.2,0,0,none,False,50.305,49.695,360.217,9.81,21.563,5.8123,2.65743,-1.5985,2.9805,-0.05947,0.05318
25.1,678.0,1.41,0.45,0.63,1.17,90.1,1,0,none,False,74.871,25.129,677.143,9.81,35.346,4.04505,0.9853,-0.4392,1.3916,0.05892,0.05102
62.0,270.5,3.2,1.54,1.49,2.4,256.8,0,0,none,False,38.086,61.914,264.542,9.81,24.974,5.41518,2.56504,-0.9809,7.0693,-0.03049,0.03026
28.6,692.0,1.3,0.61,0.61,1.01,105.0,1,0,none,False,71.623,28.377,687.582,9.81,32.625,4.43389,1.03157,-1.62,6.1615,-0.01278,-0.04406
19.8,674.5,1.47,0.69,0.51,1.2,95.2,1,0,none,False,80.157,19.843,671.667,9.81,30.84,4.67635,1.0594,2.7793,-0.1006,0.07449,0.00226
27.8,657.0,1.46,0.7,0.49,1.18,109.6,1,0,none,False,72.368,27.632,654.638,9.81,27.102,5.15632,1.11244,-1.2097,3.6859,0.03398,-0.03139
32.7,593.0,1.42,0.56,0.67,1.11,99.5,1,0,none,False,67.903,32.097,595.686,9.81,30.961,4.66021,1.05757,1.3854,-3.8302,0.0779,-0.05019
52.0,334.0,3.19,1.52,1.23,2.55,255.7,0,0,none,False,47.638,52.362,336.014,9.81,22.835,5.66661,2.62391,1.8629,-3.8552,-0.03901,-0.03777
4.1,1072.5,0.17,0.08,0.05,0.12,3.8,2,0,none,False,95.642,4.358,1075.46,9.81,41.881,2.99067,0.03389,-3.6849,0.7148,-0.00244,0.00874
47.7,339.5,3.2,1.07,1.21,2.74,231.6,0,0,none,False,52.033,47.967,347.379,9.81,24.189,5.50838,2.58702,-2.9026,-5.1254,-0.01924,-0.00712
61.7,250.5,3.2,1.37,1.42,2.56,250.8,0,0,none,False,38.501,61.499,253.096,9.81,23.215,5.62252,2.61369,-0.2925,-2.2445,-0.03694,-0.01638
24.8,688.0,1.41,0.7,0.62,1.08,105.1,1,0,none,False,75.546,24.454,687.347,9.81,30.415,4.73272,1.06576,-0.6611,1.2502,0.07018,-0.05578
5.3,1150.0,0.07,0.02,0.01,0.09,3.7,2,0,none,False,94.603,5.397,1156.368,9.81,35.581,4.01034,0.03924,-2.5115,-3.898,-0.06101,-0.03549
55.4,301.5,3.22,1.51,1.39,2.48,254.5,0,0,none,False,44.632,55.368,308.628,9.81,24.387,5.48505,2.58154,0.2016,-7.4394,-0.05127,0.04923
70.8,179.5,3.04,1.45,1.17,2.41,242.6,0,0,none,False,28.898,71.102,187.186,9.81,27.854,5.06243,2.48009,-1.2839,-6.2914,-0.03659,-0.01457
3.5,1103.5,0.12,0.04,0.04,0.08,1.1,2,0,none,False,96.382,3.618,1107.952,9.81,38.083,3.62658,0.03732,-0.2616,-3.9669,-0.01234,-0.03547
7.4,1004.5,0.2,0.11,0.09,0.18,4.7,2,0,none,False,92.48,7.52,1006.328,9.81,38.271,3.59678,0.03716,0.2916,-2.0784,0.0225,0.01296
51.9,325.5,3.26,1.0,1.22,2.84,241.5,0,0,none,False,47.756,52.244,328.587,9.81,22.665,5.68622,2.62845,-0.2682,-2.8364,-0.02696,0.00838
25.7,674.0,1.34,0.5,0.48,1.16,100.5,1,0,none,False,73.911,26.089,668.647,9.81,32.525,4.44775,1.03318,3.7173,1.8043,-0.02956,0.00839
57.5,275.5,3.23,1.5,1.0,2.68,236.1,0,0,none,False,42.016,57.984,282.103,9.81,23.316,5.6107,2.61094,-2.1673,-4.6599,-0.01785,-0.0061
51.3,334.5,3.14,1.3,1.44,2.49,218.1,0,0,none,False,48.853,51.147,332.805,9.81,24.647,5.45412,2.57425,-1.5283,3.1807,-0.02862,-0.03979
18.0,735.5,1.37,0.59,0.45,1.12,106.4,1,0,none,False,81.894,18.106,743.792,9.81,31.734,4.55614,1.04569,-0.8194,-7.4413,-0.02825,0.01905
8.4,1123.5,0.15,0.04,0.07,0.14,4.5,2,0,none,False,92.16,7.84,1127.857,9.81,40.141,3.29081,0.03555,-2.3956,-1.8361,0.03301,-0.04524
56.5,302.5,3.14,1.01,1.08,2.74,231.2,0,0,none,False,43.779,56.221,313.138,9.81,27.156,5.14954,2.50134,-4.571,-5.8918,-0.02931,0.05168
60.1,268.5,3.03,1.42,1.2,2.39,237.6,0,0,none,False,40.035,59.965,272.004,9.81,26.93,5.17753,2.50813,-4.4704,0.9698,-0.07255,-0.02559
53.2,308.5,3.13,1.34,1.21,2.58,250.5,0,0,none,False,46.684,53.316,317.909,9.81,26.051,5.28533,2.5341,-1.3661,-7.8557,-0.00756,-0.02525
61.0,275.0,3.12,1.19,1.52,2.47,242.8,0,0,none,False,39.141,60.859,277.912,9.81,24.825,5.43297,2.56925,2.1149,-5.0871,-0.05697,-0.02857
26.2,643.0,1.45,0.58,0.53,1.19,102.4,1,0,none,False,73.95,26.05,637.966,9.81,32.103,4.50586,1.03991,4.9814,0.1185,0.04121,0.04321
14.2,1050.5,0.18,0.08,0.12,0.14,1.4,2,0,none,False,85.784,14.216,1055.879,9.81,37.96,3.64606,0.03742,-2.6331,-2.558,0.02378,-0.00408
22.4,696.0,1.32,0.53,0.56,1.08,106.8,1,0,none,False,77.189,22.811,695.457,9.81,27.52,5.10427,1.10681,0.1545,0.1579,-0.06848,-0.06019
64.3,253.5,3.07,1.05,0.94,2.73,224.5,0,0,none,False,35.603,64.397,257.179,9.81,27.568,5.09833,2.48887,-0.2411,-3.338,-0.0388,0.00323
51.7,325.5,3.17,1.25,1.08,2.69,234.8,0,0,none,False,48.084,51.916,322.02,9.81,25.901,5.30355,2.53847,-0.1641,3.468,-0.0009,0.0072
65.3,230.0,3.06,1.09,0.9,2.73,249.2,0,0,none,False,34.58,65.42,236.421,9.81,28.787,4.94421,2.45096,1.5493,-7.9912,-0.04082,0.03669
53.0,311.5,3.11,1.43,1.48,2.38,249.3,0,0,none,False,47.411,52.589,314.694,9.81,25.101,5.39996,2.56144,-1.5487,-1.6099,-0.0208,-0.05891
55.3,278.5,3.08,1.09,1.08,2.65,245.6,0,0,none,False,44.492,55.508,283.58,9.81,26.335,5.25065,2.52577,0.4194,-5.446,-0.05438,-0.01361
68.7,214.0,3.04,1.01,0.93,2.71,246.6,0,0,none,False,30.615,69.385,213.613,9.81,26.455,5.23602,2.52225,3.2038,-2.7274,-0.0268,-0.08036
8.9,1083.0,0.29,0.08,0.09,0.24,0.1,2,0,none,False,90.921,9.079,1083.273,9.81,38.723,3.52432,0.03679,2.3872,-2.4827,0.07505,0.04611
32.3,580.0,1.44,0.49,0.54,1.24,102.2,1,0,none,False,67.761,32.239,588.222,9.81,31.13,4.63762,1.055,-0.5786,-7.8204,0.05461,0.00218
33.7,574.5,1.4,0.46,0.59,1.19,99.6,1,0,none,False,66.592,33.408,582.511,9.81,32.395,4.46566,1.03526,-2.3172,-5.6723,0.0569,-0.02127
55.8,297.0,3.28,1.58,1.23,2.61,257.7,0,0,none,False,44.045,55.955,304.842,9.81,23.786,5.55577,2.59813,-0.4324,-7.4876,0.00617,0.03374
49.2,353.0,2.98,0.93,1.18,2.57,217.5,0,0,none,False,51.114,48.886,352.965,9.81,30.015,4.78535,2.41127,0.1343,-0.2517,-0.05822,0.02151
49.7,318.0,3.13,1.26,1.07,2.7,258.3,0,0,none,False,50.091,49.909,324.501,9.81,25.327,5.37281,2.55499,1.5186,-7.7903,-0.01911,-0.03378
60.1,266.5,3.27,1.01,1.43,2.72,254.6,0,0,none,False,39.608,60.392,268.098,9.81,21.677,5.79933,2.65447,2.7901,-4.3716,-0.04307,0.00361
36.4,443.0,3.18,1.21,1.54,2.52,261.4,0,0,none,False,63.631,36.369,449.86,9.81,24.973,5.41531,2.56507,0.99,-8.0,-0.04837,0.03275
28.2,609.5,1.44,0.62,0.63,1.12,106.4,1,0,none,False,71.239,28.761,614.092,9.81,31.931,4.52924,1.0426,0.199,-5.0129,0.05572,0.01805
7.1,1104.5,0.12,0.02,0.04,0.05,3.0,2,0,none,False,93.012,6.988,1109.064,9.81,37.61,3.70114,0.0377,-0.4665,-4.3282,-0.00242,-0.04288
55.5,292.5,2.98,1.22,0.96,2.56,251.1,0,0,none,False,44.312,55.688,296.728,9.81,29.826,4.80998,2.41746,-3.8523,-0.2713,-0.04163,0.00093
23.7,692.0,1.4,0.69,0.53,1.06,111.2,1,0,none,False,76.452,23.548,694.38,9.81,33.545,4.30524,1.01649,1.0948,-3.2837,0.07205,-0.01497
31.2,637.5,1.41,0.63,0.6,1.11,102.9,1,0,none,False,68.676,31.324,643.729,9.81,30.542,4.71588,1.06387,0.7731,-6.985,0.03627,-0.0278
27.8,582.0,1.43,0.68,0.56,1.17,104.3,1,0,none,False,72.394,27.606,581.762,9.81,31.565,4.57903,1.04832,-2.4898,2.5327,0.0573,-0.00358
22.4,707.5,1.4,0.51,0.45,1.27,108.5,1,0,none,False,77.397,22.603,706.819,9.81,31.676,4.56395,1.04659,-3.327,4.1273,0.01091,0.00938
9.8,1032.0,0.16,0.09,0.1,0.11,4.7,2,0,none,False,90.372,9.628,1034.582,9.81,34.801,4.12502,0.0398,-1.028,-1.7191,0.0253,-0.03786
53.3,350.0,3.15,1.02,1.27,2.69,276.8,0,0,none,False,46.859,53.141,344.299,9.81,25.109,5.39904,2.56122,-1.1048,6.9831,-0.00878,-0.03508
21.0,715.5,1.4,0.53,0.66,1.13,94.7,1,0,none,False,79.538,20.462,716.238,9.81,31.98,4.52259,1.04184,-4.4308,3.667,0.01559,0.01074
56.1,282.5,3.27,1.22,1.49,2.65,259.8,0,0,none,False,44.462,55.538,278.948,9.81,22.138,5.74671,2.6424,1.5392,2.1015,-0.03639,0.01535
56.3,322.5,3.3,1.01,1.37,2.88,257.6,0,0,none,False,44.192,55.808,325.449,9.81,22.536,5.70101,2.63187,-0.0923,-2.674,-0.01552,0.04196
40.2,404.5,3.19,0.99,1.56,2.6,266.3,0,0,none,False,59.674,40.326,411.484,9.81,24.491,5.47269,2.57863,-0.3464,-6.448,-0.01147,-0.01292
48.7,347.5,3.12,1.13,1.5,2.49,275.6,0,0,none,False,51.08,48.92,348.6,9.81,25.893,5.30455,2.53871,-0.544,-0.5828,-0.0516,0.00666
59.8,283.0,3.22,0.96,0.99,2.95,234.8,0,0,none,False,40.145,59.855,281.057,9.81,23.607,5.57679,2.60304,-2.5062,4.4178,0.00462,-0.03275
25.7,608.0,1.3,0.58,0.44,1.08,94.1,1,0,none,False,73.55,26.45,616.004,9.81,36.081,3.93564,0.97188,-0.4602,-7.3765,-0.01254,0.0243
9.1,1112.0,0.22,0.11,0.11,0.13,2.7,2,0,none,False,91.105,8.895,1112.399,9.81,38.828,3.50736,0.0367,1.6457,-2.0998,0.03339,0.02572
58.4,279.5,3.22,1.41,1.38,2.55,248.5,0,0,none,False,41.151,58.849,285.059,9.81,24.541,5.46671,2.57722,0.6118,-6.1635,-0.01167,0.01667
52.6,316.5,3.18,1.27,1.48,2.52,230.6,0,0,none,False,47.483,52.517,312.893,9.81,27.246,5.13845,2.49864,-1.7864,5.3792,0.02035,0.04275
27.1,593.0,1.4,0.51,0.65,1.09,94.8,1,0,none,False,72.724,27.276,600.22,9.81,33.779,4.27206,1.01257,0.2066,-7.4352,0.04792,0.01391
51.7,330.0,3.21,1.45,1.36,2.51,253.0,0,0,none,False,48.118,51.882,336.335,9.81,24.895,5.42462,2.56728,-1.3516,-5.0656,-0.00833,0.01687
54.5,311.0,3.19,1.54,1.33,2.43,241.0,0,0,none,False,45.106,54.894,312.307,9.81,24.146,5.51347,2.58822,-1.1462,-0.0724,-0.02215,-0.0091
58.9,261.0,11.59,5.01,4.41,9.45,234.1,0,1,resonance_surge,False,40.99,59.01,259.871,9.81,26.026,5.28835,2.53483,-1.153,2.1664,0.0767,0.00601
23.2,756.5,1.39,0.44,0.46,1.23,103.0,1,0,none,False,77.048,22.952,760.521,9.81,27.636,5.08974,1.10523,3.7191,-7.5208,-0.00525,-0.05377
22.8,680.5,1.38,0.48,0.56,1.18,99.5,1,0,none,False,76.868,23.132,685.711,9.81,31.944,4.52755,1.04241,2.2154,-7.3199,0.03007,-0.02401
48.3,345.0,3.18,1.27,1.23,2.63,252.2,0,0,none,False,51.531,48.469,344.288,9.81,24.908,5.42302,2.5669,3.2824,-2.5573,-0.00805,-0.00778
49.0,340.5,3.13,1.5,1.12,2.52,244.3,0,0,none,False,51.191,48.809,343.699,9.81,25.1,5.40013,2.56148,-0.1777,-3.1037,-0.04972,-0.01542
51.7,313.0,3.08,1.07,1.53,2.43,274.5,0,0,none,False,48.619,51.381,324.473,9.81,26.618,5.21599,2.51743,-3.432,-8.0,-0.04078,-0.02285
61.6,271.5,3.22,1.02,1.09,2.85,255.3,0,0,none,False,38.635,61.365,273.712,9.81,24.177,5.50982,2.58736,-3.9078,1.9126,-0.05551,0.05353
60.3,260.0,3.28,1.37,1.11,2.76,285.4,0,0,none,False,39.914,60.086,264.152,9.81,22.615,5.69192,2.62977,1.5032,-5.5975,-0.05251,0.05331
55.4,302.0,3.08,1.46,1.15,2.47,236.2,0,0,none,False,44.836,55.164,300.026,9.81,25.667,5.33183,2.54522,0.4032,1.5915,-0.04631,-0.04821
56.7,300.0,3.19,1.4,1.02,2.7,272.8,0,0,none,False,43.222,56.778,303.631,9.81,23.368,5.60471,2.60954,-2.429,-1.305,-0.0466,-0.01324
45.8,349.0,3.12,1.39,0.94,2.62,241.9,0,0,none,False,54.1,45.9,353.085,9.81,25.918,5.30144,2.53796,0.6774,-4.7459,-0.02944,-0.01139
58.7,285.5,3.24,1.28,1.2,2.75,269.1,0,0,none,False,40.885,59.115,291.155,9.81,23.804,5.55369,2.59764,-0.2704,-5.5021,0.03206,-0.02944
55.8,292.0,3.15,1.48,0.96,2.58,231.0,0,0,none,False,43.579,56.421,284.278,9.81,24.538,5.46709,2.57731,0.1909,7.6123,0.00389,-0.06856
57.2,279.0,3.08,0.92,1.31,2.61,231.6,0,0,none,False,42.891,57.109,289.212,9.81,27.786,5.07092,2.48217,-2.5107,-7.8405,-0.02716,0.00865
54.5,302.5,3.27,1.49,1.53,2.5,258.0,0,0,none,False,45.201,54.799,308.622,9.81,23.527,5.58613,2.60522,0.6918,-6.7095,-0.01008,0.03527
28.7,604.0,1.4,0.5,0.51,1.21,108.7,1,0,none,False,71.006,28.994,616.11,9.81,30.779,4.68443,1.06031,-4.9496,-7.2113,-0.01636,0.02558
34.3,612.5,1.53,0.52,0.43,1.38,102.3,1,0,none,False,65.624,34.376,610.943,9.81,27.74,5.07669,1.10381,-0.3594,1.7753,0.06586,0.01994
57.8,291.5,3.25,1.34,1.33,2.65,228.8,0,0,none,False,41.702,58.298,294.948,9.81,24.24,5.5024,2.58562,-0.3376,-3.2558,-0.00482,0.03256
20.9,691.5,1.31,0.63,0.49,1.03,91.7,1,0,none,False,78.634,21.366,699.694,9.81,35.414,4.03508,0.98408,-0.85,-7.1317,-0.01006,0.01627
57.8,283.0,3.23,1.24,1.59,2.57,229.2,0,0,none,False,42.573,57.427,289.973,9.81,24.485,5.47336,2.57879,-2.7004,-4.0634,-0.02868,0.04728
62.2,249.5,3.19,1.38,1.6,2.4,232.9,0,0,none,False,38.125,61.875,251.089,9.81,24.934,5.41992,2.56617,0.1249,-1.5324,-0.03276,0.02204
34.1,582.0,1.42,0.49,0.47,1.21,95.2,1,0,none,False,65.578,34.422,590.699,9.81,32.598,4.43774,1.03202,-0.581,-7.88,0.0228,0.03533
58.1,284.0,3.22,1.51,1.0,2.66,255.2,0,0,none,False,41.712,58.288,290.168,9.81,23.359,5.60575,2.60979,-1.6884,-4.5442,0.00788,-0.03706
60.4,286.0,3.06,1.43,0.89,2.53,223.8,0,0,none,False,39.815,60.185,277.366,9.81,28.526,4.97752,2.4592,2.5851,6.2418,-0.023,0.01356
27.1,646.5,1.39,0.56,0.56,1.16,99.9,1,0,none,False,73.052,26.948,646.872,9.81,32.971,4.38587,1.02597,-0.6536,0.3615,0.03349,0.00944
8.2,1032.5,0.16,0.06,0.04,0.15,0.5,2,0,none,False,91.459,8.541,1039.477,9.81,38.153,3.61543,0.03726,-2.6049,-4.3751,-0.03784,0.03484
8.0,1221.5,0.18,0.09,0.05,0.14,2.1,2,0,none,False,92.321,7.679,1225.927,9.81,37.554,3.70986,0.03774,1.261,-5.8124,-0.02139,0.03447
24.9,656.5,1.46,0.45,0.6,1.28,112.2,1,0,none,False,75.566,24.434,660.315,9.81,27.676,5.0848,1.1047,-3.2806,-0.723,0.05489,-0.03603
25.9,647.5,1.46,0.54,0.62,1.24,110.1,1,0,none,False,74.346,25.654,646.529,9.81,31.763,4.55222,1.04524,0.3617,0.5701,0.06688,0.02312
46.2,384.0,3.15,1.42,1.16,2.53,247.8,0,0,none,False,53.81,46.19,379.91,9.81,25.869,5.30744,2.5394,0.6294,3.4818,-0.00683,-0.01277
56.9,304.0,3.22,1.19,1.44,2.62,241.4,0,0,none,False,42.948,57.052,305.389,9.81,22.988,5.6489,2.61981,-1.4603,-0.0963,-0.04326,-0.00311
50.1,342.5,3.16,1.03,0.99,2.83,243.7,0,0,none,False,50.375,49.625,345.968,9.81,24.491,5.47265,2.57862,-0.4925,-2.9788,-0.05165,-0.00552
5.6,1082.5,0.14,0.07,0.05,0.08,1.5,2,0,none,False,94.525,5.475,1091.918,9.81,36.998,3.79612,0.03818,-3.4597,-5.9754,-0.03359,0.01018
30.2,659.0,1.36,0.5,0.46,1.2,101.5,1,0,none,False,69.689,30.311,653.223,9.81,31.436,4.59637,1.0503,1.6534,4.024,0.0164,-0.03931
8.5,1054.5,0.12,0.05,0.07,0.12,4.9,2,0,none,False,90.559,9.441,1054.739,9.81,38.173,3.6124,0.03724,4.5319,-4.8847,-0.04716,0.00399
56.6,271.5,3.18,1.5,1.44,2.42,239.2,0,0,none,False,43.145,56.855,277.804,9.81,26.11,5.27812,2.53237,-0.427,-5.831,-0.01131,0.03153
42.5,409.5,3.31,1.06,1.1,2.92,276.3,0,0,none,False,57.542,42.458,401.27,9.81,19.548,6.03803,2.70854,3.3083,5.0323,-0.02339,-0.04116
52.9,308.5,3.14,1.15,1.37,2.57,252.6,0,0,none,False,47.305,52.695,309.086,9.81,23.755,5.55942,2.59898,-0.2525,-0.2984,-0.05824,-0.0356
57.1,290.5,3.08,1.09,1.07,2.63,221.1,0,0,none,False,43.205,56.795,282.08,9.81,28.545,4.975,2.45858,1.0295,7.4786,-0.01174,0.01856
62.4,237.5,3.09,1.14,1.16,2.62,227.8,0,0,none,False,38.131,61.869,240.309,9.81,27.0,5.16891,2.50604,1.1077,-3.8851,-0.01646,-0.02538
